cluster,count,fraction,avg_len,median_len,mean_speed,mean_turn,grip_rate,mean_vx,mean_vy,mean_vz
0,3607,0.147020,58.30579376220703,52.0,0.3816615045070648,0.3163544833660126,0.1478615701198578,0.22083519399166107,0.004828272853046656,-0.11486297100782394
1,1719,0.070066,43.28621292114258,33.0,0.5262140035629272,0.5576100945472717,0.29797306656837463,-0.0845523402094841,0.04964340105652809,0.12088284641504288
2,5174,0.210891,43.215694427490234,36.0,0.2323661893606186,0.2826290726661682,0.8644756078720093,0.021440116688609123,-0.005176336504518986,0.02175467647612095
3,3188,0.129942,31.73745346069336,28.0,0.47658807039260864,0.3524755835533142,0.5493288040161133,-0.18018043041229248,0.03965212404727936,0.281912624835968
4,5313,0.216557,41.687747955322266,34.0,0.17725293338298798,0.22272954881191254,0.07869090139865875,0.027193628251552582,-0.006599383894354105,8.012621947273146e-06
5,1758,0.071656,28.978952407836914,25.0,0.43958547711372375,0.692954421043396,0.4707815647125244,-0.06962279230356216,0.1401439756155014,0.039795760065317154
6,1276,0.052009,29.40360450744629,26.0,0.6415612101554871,0.6322888731956482,0.5271486043930054,-0.15850792825222015,-0.32377001643180847,0.10036566853523254
7,2389,0.097375,35.701969146728516,31.0,0.291350394487381,0.5850111246109009,0.4113340377807617,0.02253727614879608,-0.01710997335612774,0.016873201355338097
8,110,0.004484,362.2090759277344,300.5,0.34743815660476685,0.371308833360672,0.13650614023208618,0.0021474885288625956,-0.0007432216079905629,0.0032138009555637836
